red_1,red_2,red_3,blue_1,blue_2,blue_3,win
9085,4131,8739,3616,4253,1756,blue
3310,1403,2791,1100,7565,4392,red
9168,3341,1868,333,9015,343,blue
6652,3008,2451,9219,6647,6348,red
3990,399,6995,449,649,4766,red
6358,4788,2199,5687,6329,2945,blue
302,9019,3526,8393,5907,148,blue
7042,6995,325,2637,6358,9019,red
4010,5901,6998,7534,2637,115,red
7890,5727,6868,5414,6586,4270,blue
8426,2370,8739,9153,325,8711,red
180,5940,9016,7220,4003,3616,blue
3847,7042,9168,9085,7021,1100,blue
1868,4738,3284,7565,6413,3008,red
6647,4131,3749,2791,3341,3132,red
4392,6652,343,8177,2451,1756,blue
1771,6348,3489,1403,8046,9015,red
3310,840,4253,818,9219,333,blue
6647,9153,8393,5414,3990,5940,blue
7890,4766,4270,7534,4788,5907,red
9019,6998,5727,449,115,9153,blue
8739,4010,649,3526,5940,6329,blue
8393,2370,180,5901,2199,9168,red
7565,399,3616,6868,3990,3008,red
4131,6358,302,6647,8426,1868,red
1756,6586,9085,2637,8711,2791,red
3284,1403,5687,148,6995,2451,blue
8046,5414,3310,8177,3749,3341,red
7042,840,333,9016,6652,2945,blue
4003,399,4010,333,1756,2370,blue
9015,3847,4003,6413,818,4392,red
343,4738,4253,325,3489,7021,red
6348,7220,1100,1771,3132,9219,red
3008,3526,115,4270,3990,9168,blue
449,7565,8426,2199,6647,4010,red
5727,2637,4131,2370,8711,649,red
7534,2791,5940,1403,302,2451,red
1868,8177,5414,9019,9085,180,red
7042,8046,5901,3616,840,5907,red
3284,3749,9015,8739,6652,4003,blue
8711,1100,302,6998,115,6329,blue
9153,3489,4253,2945,6995,6413,blue
6329,4392,3132,148,6868,333,red
1100,9219,9016,4788,8393,4738,blue
6998,1756,7220,6358,3310,818,red
3847,5687,7890,4766,343,6348,red
3341,1771,325,399,7021,6586,blue
2370,4270,449,1868,1403,9085,red
2791,649,8426,5901,3616,9019,red
6647,5414,9168,4003,3284,8711,red
2637,3526,7565,4131,8177,3489,blue
3132,818,1403,3526,180,2945,red
5907,9015,6652,9153,4010,6868,red
4253,148,4788,5940,3008,7042,blue
2451,9016,3132,3990,3310,6998,blue
8046,6358,5727,343,818,1100,red
6995,6348,7021,840,1756,8393,red
9219,7534,2945,3341,3847,6329,blue
6413,180,399,3749,115,5687,blue
2199,4766,6586,7220,4738,8739,blue
1771,333,4392,302,325,7890,blue
6652,5901,5414,4131,449,3526,red
5907,449,6586,9016,6413,4131,red
9168,3616,4788,8711,4010,1403,blue
3284,5907,8426,4253,5940,3132,blue
4270,2451,2637,9015,1100,6358,blue
4003,1868,6868,6995,8393,3310,red
7021,6998,9219,649,6348,7565,blue
2945,9153,148,3749,343,399,blue
840,9019,8177,4738,6647,2370,blue
7890,7220,8046,6329,3990,325,blue
115,7042,1771,3489,8739,818,red
5687,4766,3341,9085,9016,4392,red
8046,5687,1771,6652,1868,2791,red
2791,333,6413,5727,7534,2199,blue
6586,3847,180,3008,302,1756,blue
8711,9168,449,6868,4253,6358,red
2637,8426,6652,4788,4003,1403,blue
8393,2945,5901,7565,9015,6998,blue
4270,3749,4738,4010,4131,5940,blue
9019,2451,399,7021,3526,8046,blue
115,2370,8177,9219,3284,7890,red
9153,6329,4766,3310,1771,3616,blue
818,9016,6348,325,2791,148,blue
4270,4010,4738,8177,1868,5414,blue
5687,5727,8046,6329,148,818,blue
5414,1868,8177,1756,5940,649,blue
5687,5727,4766,1756,5940,649,blue
649,5940,1756,8177,1868,5414,red
5687,5727,8046,4253,2451,3310,red
818,148,6329,4003,180,3990,red
4270,4010,4738,325,3847,449,red
5414,1868,8177,4253,1771,3310,red
3990,180,4003,325,3847,7021,blue
649,5940,1756,4766,5727,5687,blue
818,148,6329,4738,4010,4270,red
649,5940,1756,325,3847,7021,red
33,2607,4028,972,6328,8085,red
33,2607,4028,972,6328,687,blue
33,2607,4028,972,6328,8085,blue
4,2905,9148,2607,33,862,blue
4028,624,3256,5635,1561,6002,blue
972,1102,324,3061,2905,9059,red
9101,2106,6328,3322,2607,4903,blue
4373,1700,7444,9148,27,111,blue
9134,4,9067,624,254,834,blue
1189,2202,1577,862,3256,3663,red
120,8159,2220,1768,7174,6078,blue
9180,2847,1481,9038,118,2468,blue
5635,5045,1884,8085,6036,1574,blue
8724,548,3459,2687,1619,972,blue
9059,33,4903,5993,4028,7211,red
70,2220,1619,1189,9059,9101,red
7563,27,1102,2506,111,3322,blue
1561,5232,2582,9134,2457,1700,red
3142,4373,687,2106,70,4,red
7444,624,3130,2905,4362,9101,red
9148,3061,2875,5809,4476,4598,red
2607,78,324,834,8729,3015,red
6002,1574,2056,6328,972,254,blue
120,9059,8085,9180,9067,2202,red
1619,7174,1577,7211,1481,5045,red
1768,2847,9134,548,27,1189,red
4476,3015,7563,3459,5993,6036,red
2506,8724,2457,5635,4903,6036,blue
4362,4,5993,3663,1561,2106,blue
3256,9101,33,8159,5809,2468,blue
4598,3322,3130,2607,4373,834,blue
118,324,2056,70,7444,4476,red
6328,3459,78,1700,4028,1884,blue
7563,9148,624,6078,1102,687,blue
2905,2582,111,8729,2875,2220,red
6002,3142,2687,9038,3061,5232,red
862,1619,8085,3015,9134,972,red
6078,3061,2847,3663,3322,1700,red
2202,2607,548,1481,2506,2875,red
6328,834,8159,8085,4362,9148,blue
324,2468,8724,9134,1574,4598,red
78,7211,3142,9067,2582,120,red
9038,8729,1102,254,5045,1561,blue
2106,118,27,1619,4028,33,blue
9067,4598,7444,1884,4903,9180,blue
2220,4373,3256,3459,9180,972,blue
4,1884,3015,2056,9101,6078,blue
70,1577,111,4903,6002,3061,red
7174,5993,2905,687,2457,2847,blue
4476,3663,2687,3130,5635,9059,red
624,862,1768,6036,3322,5809,red
5232,1189,120,254,7444,7563,blue
2875,6328,8085,324,9134,9038,red
1619,2582,2506,972,3256,4362,red
2202,3015,1561,7211,9148,2468,red
687,324,6328,1481,1768,2582,blue
1102,70,1884,2220,2106,834,red
1700,2056,2905,4598,548,5993,red
9067,5635,2687,8159,118,687,blue
3061,5045,7174,27,862,4,red
7444,6002,1481,1768,7563,8729,blue
624,5232,2607,9059,78,8724,red
9180,3663,6036,111,1574,33,blue
1577,4028,2457,4373,9101,4476,red
4903,6078,3459,1189,5809,3142,red
3322,2847,254,3130,1884,2506,red
2468,834,2506,5045,2687,1700,red
9148,120,5635,5993,9038,70,blue
7211,862,7174,6328,2687,118,blue
548,687,8729,2468,3256,27,blue
972,4598,2202,78,8159,624,blue
33,1768,3061,2056,9067,1561,blue
1574,2875,9059,4373,4362,7563,blue
4028,2905,5045,5232,3663,8724,blue
1619,2457,3322,4,324,9180,blue
4903,4476,1481,834,9134,6078,red
1700,8085,2607,7444,1577,3142,blue
2875,2202,4362,1102,2056,8724,blue
2106,111,5809,1189,3130,3015,blue
2582,3459,9101,1102,6002,2847,blue
2056,6036,3256,2220,9038,7174,red
9067,70,548,1574,862,7563,blue
1884,9148,1768,2687,8729,4028,blue
78,120,2468,27,2457,4362,red
1619,6078,4373,1561,6328,2905,blue
834,687,3663,8724,972,7211,red
5045,33,324,3130,2202,4903,blue
6002,9180,5809,1102,2607,4476,blue
2457,2106,7211,548,111,8085,blue
2582,624,3061,3015,7444,5993,red
111,2875,9134,2847,3142,5635,tie
9101,1700,4,6036,1481,1189,blue
2220,2506,5232,8085,4598,118,blue
8159,3459,2106,254,1577,9059,blue
3322,7211,9038,2905,2468,1574,blue
3130,7563,834,2202,7174,4028,blue
5045,972,2457,6078,9067,9148,blue
33,8729,4373,624,1102,1619,blue
2847,8724,70,5809,7444,6328,red
1574,3130,27,3142,8159,5232,red
2687,5993,78,2875,1189,9180,red
4362,6002,862,324,1700,2220,red
1884,1561,548,687,4903,120,blue
4476,9059,5232,1768,111,4,blue
3015,4598,3142,1481,3256,3322,red
6036,27,2582,1577,2607,5635,blue
118,254,3459,9101,3061,8085,red
2506,3663,8159,2106,2056,9134,blue
2468,3130,1102,5993,6328,9067,red
1574,6078,7444,2202,2687,33,blue
8729,118,972,120,9134,1577,red
4903,1619,1700,2875,120,624,blue
4362,5809,4028,972,4,687,blue
9059,834,862,2457,3142,8729,blue
9038,8724,1189,2582,4476,1884,red
27,5635,254,3459,2220,1481,red
3256,1768,78,70,8085,2905,blue
118,548,3663,3015,4373,6002,red
3322,9180,2056,5045,9148,1577,red
111,1561,9101,7174,2506,4598,red
7563,8159,9134,3061,7211,2607,blue
254,5809,9038,7174,78,4373,blue
5232,6036,9067,2847,324,2106,red
3142,5993,2202,5809,1884,1619,blue
6078,254,4476,862,2468,2582,red
8724,1481,1574,3256,120,3130,red
2457,9038,2875,3663,3459,1768,red
1577,2220,118,78,548,5045,red
4598,1189,5635,33,7174,6002,blue
9180,3015,8159,4028,687,2506,blue
2687,8085,2056,1561,7563,2847,red
6036,4362,7211,8729,5232,70,red
6036,78,118,3663,111,1561,red
624,1577,1574,4028,2607,33,blue
6036,78,118,972,6328,687,blue
624,1577,1768,972,6328,687,blue
27,254,2056,4362,1619,1102,blue
1561,3663,111,1768,1577,624,blue
6036,78,118,2687,2468,3015,red
33,2607,4028,972,8085,6328,red
27,254,2056,111,3663,1561,blue
3015,2468,2687,972,8085,6328,blue
4362,1619,1102,1768,1577,624,blue
6036,78,118,4028,2607,33,blue
4362,1619,1102,972,8085,6328,blue
1414,2539,176,6672,3655,5895,red
1414,2539,176,6672,3655,5895,blue
1414,2539,176,6672,3655,5419,blue
2539,5411,1414,5024,5618,5988,red
6823,694,4020,604,5419,2489,red
987,9125,6352,6672,5618,4561,red
4693,1414,1745,6823,3604,3937,blue
469,1599,319,4175,587,4020,red
5419,694,1983,5089,5152,1241,blue
2240,1683,9244,604,3668,2230,blue
7018,1923,4122,2489,5895,9007,red
2539,3655,2656,597,2403,9075,red
5411,176,9076,135,3374,5913,red
360,6420,384,4561,1072,930,blue
2974,1414,5409,6090,4693,1218,red
9075,316,469,9125,6420,3374,red
9022,2399,6352,910,5653,9125,red
1599,2635,587,694,1745,5024,blue
4779,3679,3683,5618,469,5419,red
987,5505,2638,1506,6823,4175,blue
3620,9008,5089,319,5988,6865,blue
25,3604,316,5152,8576,4039,red
3937,6672,5411,4020,1072,2403,red
6090,4561,5895,3374,1241,2656,red
9076,4693,9022,6352,2489,9075,blue
5024,597,9244,6420,5409,1983,blue
176,1599,2638,910,360,1241,red
1683,5913,910,3655,1414,5419,red
9125,135,1923,5505,2539,3668,blue
930,4779,1599,6823,3620,3679,red
987,2240,4175,7018,5152,9008,red
2974,1506,4122,316,384,694,blue
5618,5089,3604,360,2638,587,blue
6672,9007,5653,5988,25,3683,blue
2399,2635,8576,604,3937,469,blue
6865,176,2230,4020,4039,1745,blue
1218,6352,2539,319,1072,1241,blue
8576,1506,1923,5913,3620,6672,blue
3668,4175,5988,1745,1218,5895,blue
4561,5024,2399,4122,5089,3655,blue
5618,930,9022,5409,2656,2635,red
3604,384,5411,9244,5505,7018,red
2230,4693,5152,2539,3683,1072,blue
135,6352,6823,469,6865,1683,blue
3668,319,5152,4122,930,2635,red
5653,4039,1241,2403,987,604,blue
2638,5419,2240,9075,3620,8576,red
9008,25,3374,2974,910,2489,blue
9007,6090,694,316,176,319,blue
1414,4020,1506,4779,360,597,red
6420,3937,587,3679,5913,9125,red
1983,3655,6672,3668,9076,1599,red
6352,5024,5089,1072,384,1218,blue
2539,469,2230,1241,4122,5409,red
7018,5618,3620,9244,5653,1745,blue
2399,5895,5505,1072,5409,1745,red
1923,987,930,2399,5419,3604,blue
176,4561,5988,3683,316,2240,blue
8576,3374,9022,2403,319,6823,blue
9075,1683,2974,5895,3937,4779,blue
25,5505,6865,1414,9076,694,blue
9008,604,6672,6420,135,6090,blue
5913,2635,360,4039,597,4175,blue
1599,9125,5152,9007,5411,1506,red
3679,4020,2656,4693,1983,910,red
5653,316,2638,587,2489,3655,blue
9076,587,25,1218,9244,987,red
3683,5618,1218,3374,3620,2399,blue
5409,9022,7018,176,3668,3937,blue
384,8576,2539,1745,987,1683,red
4779,1241,9076,2240,1923,6420,blue
1072,597,4122,135,4175,5419,blue
4561,5913,6823,9244,2974,5152,red
4039,360,4693,9125,9008,694,blue
587,604,6865,5988,2656,5411,red
5024,9075,319,3679,6672,5505,blue
469,910,6090,1983,5895,3604,red
384,3655,6352,2656,2230,1923,red
2489,2230,2403,5089,1506,2635,blue
6352,2638,930,1414,1599,25,blue
5409,4020,3655,9007,6420,987,red
3937,5419,9244,4175,2539,176,blue
1241,6823,3668,316,9008,9076,red
5152,135,4779,587,2399,384,blue
694,1218,4039,4561,9075,7018,red
910,319,5895,360,6865,5618,red
5089,6090,8576,1923,3683,5411,blue
4122,1414,604,1983,2403,3679,red
1683,9007,4039,9022,4175,5089,red
3374,2240,5505,2635,6352,4020,red
2656,5024,3620,2230,25,9125,blue
1745,2638,597,9022,9007,2974,red
5913,469,1506,930,5653,4693,blue
1072,5988,2489,1599,3604,1683,blue
6672,6420,2539,360,2399,7018,red
3683,4039,135,694,9244,5895,red
4175,6865,3679,3655,8576,4561,blue
2635,6823,5618,384,1983,176,blue
3937,6090,9125,2240,4122,25,red
9008,3683,4561,1983,3937,597,blue
987,5411,319,2638,2230,2974,red
1506,587,9075,6352,5409,3668,red
1241,1923,3604,4020,9022,5024,red
5505,1218,2403,1683,930,9008,blue
5419,4693,3374,5653,5988,1599,red
5152,2489,469,597,6672,1414,red
2656,1745,316,5913,5089,4779,red
3620,910,1072,9007,9076,604,red
2635,135,1983,2638,7018,8576,red
4039,2240,5409,5411,4122,6823,red
2240,3679,135,3604,2974,5653,blue
9244,4175,384,9075,1241,2399,blue
5895,3655,9008,9022,2539,25,red
3374,1683,176,1506,3679,5024,red
6865,5152,5653,1218,1923,3937,blue
2489,3668,1414,3683,2656,6420,red
5505,1599,5913,2230,6090,5618,red
319,4779,9007,3604,4561,604,blue
2403,1745,360,5419,6352,316,blue
5988,694,3620,469,1072,987,blue
9076,5089,2974,930,9125,4020,blue
6865,2403,4693,6090,7018,4779,blue
587,6672,910,4693,597,2240,red
4122,9075,5653,5411,9008,2635,blue
1241,7018,3683,3655,1506,1683,blue
2399,2539,5913,3668,6865,2638,red
2656,9244,2489,8576,5505,9007,blue
1218,1983,2230,316,9022,135,red
25,604,5409,1923,3374,360,blue
5895,2974,6420,3620,176,2403,red
597,5988,3679,9076,384,6090,blue
5024,4779,1072,930,910,4039,blue
2399,3937,930,604,3604,694,red
1414,2539,176,6672,3655,5895,red
2399,3937,930,3683,319,3620,red
5895,3655,6672,930,3937,2399,red
1414,2539,176,1506,2974,587,red
3620,319,3683,604,3604,694,red
5895,3655,6672,987,1923,469,red
2399,3937,930,4039,6090,384,red
587,2974,1506,604,3604,694,blue
469,1923,987,4039,6090,384,red
1414,2539,176,3683,319,3620,red
5895,3655,6672,930,2399,2230,red
3620,319,3683,987,1923,1241,red
5804,1746,3184,1538,4909,4143,red
5804,1746,3184,1538,4909,4143,blue
5804,1746,3184,1538,4419,4143,red
7428,4663,5338,9030,5804,1023,blue
9062,7617,9126,3003,3940,179,blue
1466,2960,4522,9140,1757,1468,blue
3184,5990,3767,857,5553,1123,red
2992,8847,11,4145,7428,3161,red
1501,1629,4143,1816,4112,5135,red
8015,494,5338,6909,7072,195,blue
3940,4909,2642,3039,179,503,blue
6817,9126,5804,3572,1538,3538,blue
5006,7285,4069,6431,8717,1746,red
955,8592,3218,3003,6657,4944,red
3767,8016,4905,4663,9023,3478,red
3538,6657,503,1468,1123,195,blue
3184,5172,8847,6606,1023,9062,red
5553,7428,8808,1629,177,7617,blue
4099,2992,1836,5990,2960,5274,red
4112,900,1123,1466,3161,5665,red
1757,1501,9030,4329,11,857,blue
4522,3932,9140,1156,1816,4419,red
9084,4145,1538,3218,2642,1468,red
4944,6909,3039,3478,5006,5135,blue
503,8016,3572,8717,8015,3184,red
9126,4069,6606,4663,8592,177,blue
5990,8592,7285,3161,3478,1629,red
8808,4909,6657,3940,7285,2992,blue
7617,900,179,8847,3767,4112,red
3538,5553,11,4905,2960,4329,red
5990,4522,9062,9023,7428,6817,red
4143,1468,5172,7072,3003,1123,red
195,3161,6431,4099,1023,1156,blue
5274,494,5804,3932,1757,1629,red
4145,5665,9140,1746,9030,857,red
4419,1501,955,9084,5338,1836,red
8808,3039,1466,3218,3572,1816,red
9023,8847,4145,4099,1501,8808,blue
7428,3572,900,5338,857,4905,blue
5665,1156,4909,4663,5006,5172,red
8717,4069,1023,11,4112,5274,red
2992,3184,3218,4143,5804,4329,blue
8016,6606,494,3767,9126,4522,blue
1538,5553,7072,9140,5135,3039,blue
857,1757,1816,1538,4909,6909,red
8015,6909,3932,5990,6431,955,blue
1816,7617,4145,1836,6817,3161,red
1468,3940,8847,7285,9030,4944,red
9062,6657,3478,4099,4419,1757,blue
179,1629,9023,195,1466,3538,blue
2960,503,1123,9084,1746,8592,blue
177,3003,4522,2642,1501,2992,red
8808,5665,1538,494,3572,1023,red
1156,11,3039,3218,9126,6909,red
5804,6431,8015,5553,4145,4112,blue
5553,4944,6817,1156,4069,900,blue
9140,4143,3940,4069,5990,8847,red
5172,4099,7285,8016,7617,1757,blue
3478,857,179,6657,3932,1836,red
7428,1468,8592,3767,1816,5006,red
4909,3161,1746,3538,9062,5338,red
4944,2960,1501,3184,195,2642,blue
7072,5274,8717,4905,1123,4419,blue
5135,4329,4663,955,503,1466,blue
9030,6606,3003,6817,1629,9084,blue
9023,1156,177,900,1757,4143,blue
4112,4905,5006,3932,3184,8808,blue
1023,9126,5665,1836,3218,7285,blue
857,5804,8592,8847,4522,7617,blue
6909,3538,3767,8808,9140,9062,red
1468,5338,5553,179,2992,8016,blue
8015,4944,1746,4419,4909,7428,red
503,8717,3161,1501,3932,1538,blue
3478,9030,3184,6431,1466,5274,red
1123,6817,4099,2642,4663,11,blue
6606,6657,5135,2960,900,1816,blue
3003,9023,5990,5006,4329,494,blue
2992,494,5172,9140,9084,8717,red
4905,4069,1629,3039,5172,4145,blue
195,9084,4112,3572,177,3940,blue
5665,3538,955,7072,4522,7428,red
179,8808,1023,4944,4143,8592,blue
1757,503,6431,9126,8847,5338,blue
8717,1836,6909,9030,4663,5553,red
1123,3218,6606,3932,7617,4909,blue
3161,2642,5804,9023,9140,6657,red
6817,5274,1501,1468,3039,8015,blue
4419,4145,177,494,3940,3184,blue
4143,5274,3572,6606,955,2642,red
900,2992,4329,5172,1538,3478,red
1629,4112,2960,955,9062,1156,blue
7285,9084,857,1466,7072,5006,red
1746,1816,195,8016,11,5990,red
3767,5135,4099,4069,3572,3003,red
7617,4905,9140,503,4944,9126,blue
3161,179,4663,1757,3218,8015,red
1836,6431,3538,4143,494,177,blue
3184,6606,3039,5665,9023,2992,red
1123,8717,7428,4329,1156,3940,blue
11,1466,8015,5665,177,3767,blue
857,6817,2960,4112,8808,5172,red
1816,3478,5553,8847,955,9084,red
4522,1538,9030,4069,4099,4909,red
8592,2642,3932,8016,5135,9062,red
1746,6909,1466,1501,4905,5804,blue
5338,3767,195,5274,4145,7285,red
4419,1023,5990,900,1468,3003,red
6657,7072,3572,1629,5006,11,blue
3039,4143,4663,4944,857,3161,red
494,3478,503,4112,7428,3218,red
3218,4419,7072,2960,6431,8016,red
177,1816,8717,179,4099,5665,blue
4909,9140,6817,8592,3184,6431,red
9126,5172,9023,5135,8015,9030,blue
4905,1466,1836,9062,195,4069,red
3940,9084,900,5274,3538,8016,red
1156,1538,7617,5338,5990,6657,red
2642,4329,8847,6909,1629,4419,red
3932,1746,7072,1023,3767,2992,blue
11,955,1468,5804,8808,6606,blue
5006,3003,1501,7285,5553,2960,red
1746,4329,3039,4522,1836,5135,red
3572,4522,1757,4145,1123,4944,red
4909,195,4143,3478,8717,9126,red
5135,5665,9084,6431,179,4905,red
8592,9062,9030,900,3039,494,blue
4329,3538,4069,7617,8015,2642,red
3218,3940,4099,5172,5338,6909,red
5804,1836,1156,7072,6606,503,red
177,8016,5006,1023,955,6817,blue
3572,4419,3932,1538,7285,9023,red
3003,4663,8808,6657,1746,5274,blue
3478,1023,2992,4522,177,9084,red
195,11,3039,3184,1746,4329,blue
3478,1023,2992,1538,4909,4143,blue
195,7285,3039,1538,4909,4143,blue
4143,4909,1538,4522,177,9084,red
195,7285,3039,8592,900,179,red
